Block 1 - Rebuild,,,,,,
,,,,,,
Week 1,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6
Focus,Flat foot work,Squats & Jerks,Clean Day,Rest,Snatch Complex,
,https://youtu.be/TAuiRpKtJFk?si=t_aI3wDMB7HJjXZX,Jerk ,לומדים לשמור על כף רגל עד לרגע המשיכה שבו אצבעות עולות לטובת מתיחה מלאה למשיכה,,Flat foot Snatch Pull+power Snatch,
Technique,Flat Foot Snatch         4x2 @30-40kg,,Flat-Feet Clean Pull+ Squat Clean,,https://youtu.be/TAuiRpKtJFk?si=t_aI3wDMB7HJjXZX,
Weights,הפוקוס כאן הוא ללמוד לא לנתק את כף הרגל מהרצפה עד שלב הקפיצה שמה פה קישור לסרטון,5x2 @85-90kg,"4(2+1) @85,90,90,95kg",,4(2+2) @30-45kg לא לעלות ל-50 גם אם מרגיש טוב,
Strength,https://youtu.be/S30tGtZ5DPM?si=ahyj8_1B9Ai0l-UN,"Back squat Doubles @95,100,110,115,115",Front Squat.        4x4 @85-100kg,,Back Squat 5x5 @85-90kg,
Pulls,"Clean deadlift to knee with pause+clean pull.  3(2+2) @70,75,80kg",,,,Flat Foot Snatch Pull 4x4 @70-85kg,
Focus,"פאוס של 2 שניות בברך.                  להצמיד את המוט, להרגיש אותו עליך, בנוסף- תתמקד איך הרגליים יוצרים את הכל מהריצפה ולא בהכרח הגב מושך רק בסוף.",,,,להרגיש את מרבית העבודה מהרגליים בזכות דחיפה של כל כף הרגל ופחות עומס על הידיים והגב,
Mobility,לחמם פאמפ רגליים ,,,,,
Metcon,,,,,,
